BW    336 #MHz
FRES  1 #MHz
NFRB 7694 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 4.4 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 9 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM   DMG DMEG	Z       SNR     w
FRB 627   191.8  35    106.8  0.124    12.7    1.0
FRB 628   845.8  35    760.8  0.145    20.2    1.0
FRB 629   291.3  35    206.3  0.228    15.7    2.0
FRB 631   846.1  35    761.1  0.027    42.7    3.0
FRB 632   512.1  35    427.1  0.262    12.6    3.0
FRB 634   674.4  35    589.4  0.312     9.4    3.0
FRB 635   349.5  35    264.5  0.093    14.9    2.0
FRB 636   354.0  35    269.0  0.094    29.4    0.0
FRB 638  1002.9  35    917.9  0.252    10.5    2.0
FRB 640   325.2  35    240.2  0.142     9.9    2.0
FRB 641   320.2  35    235.2  0.198    47.2    3.0
FRB 643   672.1  35    587.1  0.102    22.4    2.0
FRB 644   324.5  35    239.5  0.334    28.1    3.0
FRB 645  1412.6  35   1327.6  0.257    12.5    3.0
FRB 647   784.6  35    699.6  0.498     9.6    2.0
FRB 649   493.8  35    408.8  0.608    26.1    1.0
FRB 650   432.9  35    347.9  0.427    17.5    1.0
FRB 651   310.9  35    225.9  0.255    12.0    3.0
FRB 653   417.4  35    332.4  0.363    14.4    3.0
FRB 654   312.5  35    227.5  0.180    13.1    1.0
FRB 655   329.4  35    244.4  0.097    19.9    4.0
FRB 656   295.1  35    210.1  0.166    15.7    3.0
FRB 657   706.4  35    621.4  0.071    17.1    2.0
FRB 659   238.4  35    153.4  0.089    78.7    1.0
FRB 660   222.5  35    137.5  0.165    11.2    2.0
FRB 662   264.8  35    179.8  0.120    25.2    2.0
FRB 663   527.1  35    442.1  0.551    10.5    1.0
FRB 664   396.0  35    311.0  0.327    21.1    3.0
FRB 665   342.4  35    257.4  0.136    58.9    3.0
FRB 667   284.2  35    199.2  0.244    92.6    3.0
FRB 668   282.9  35    197.9  0.093    10.7    4.0
FRB 670   633.9  35    548.9  0.437    12.2    1.0
FRB 672  2918.0  35   2833.0  0.160    32.7    3.0
FRB 673   523.5  35    438.5  0.107    14.9    3.0
FRB 674   363.6  35    278.6  0.012    19.6    1.0
FRB 675   367.4  35    282.4  0.300    12.6    2.0
FRB 677   575.2  35    490.2  0.460    14.5    1.0
FRB 678   444.3  35    359.3  0.448    19.1    4.0
FRB 679   201.6  35    116.6  0.006    18.2    3.0
FRB 680   853.1  35    768.1  0.588    10.4    2.0
FRB 681   309.0  35    224.0  0.306   109.2    0.0
FRB 683   304.8  35    219.8  0.007    19.3    3.0
FRB 684   431.0  35    346.0  0.264    62.6    2.0
FRB 685   342.9  35    257.9  0.223    13.3    1.0
FRB 687   553.1  35    468.1  0.297    13.0    3.0
FRB 688  1428.0  35   1343.0  0.409    37.0    2.0
FRB 689   256.7  35    171.7  0.242    16.3    3.0
FRB 691   279.0  35    194.0  0.089    30.2    3.0
FRB 692   157.9  35     72.9  0.022    14.7    3.0
FRB 693   289.4  35    204.4  0.162    15.7    3.0
FRB 694   460.3  35    375.3  0.360    10.8    2.0
FRB 696   914.1  35    829.1  0.331    19.4    2.0
FRB 697   844.5  35    759.5  0.504    19.3    2.0
FRB 698   295.3  35    210.3  0.043    32.1    2.0
FRB 699   305.9  35    220.9  0.066    12.4    4.0
FRB 701   460.2  35    375.2  0.040     9.8    4.0
FRB 703   332.5  35    247.5  0.270    27.8    3.0
FRB 704   327.1  35    242.1  0.164    11.2    2.0
FRB 706   831.3  35    746.3  0.128    24.3    2.0
FRB 707   206.9  35    121.9  0.048    21.3    4.0
FRB 708   364.0  35    279.0  0.276    10.4    5.0
FRB 709   564.8  35    479.8  0.627    25.8    0.0
FRB 710   364.3  35    279.3  0.093    22.6    2.0
FRB 711   370.4  35    285.4  0.265   122.7    3.0
FRB 712  1026.3  35    941.3  0.166    22.8    5.0
FRB 713   511.7  35    426.7  0.298    21.3    1.0
FRB 715   414.1  35    329.1  0.223    15.1    2.0
FRB 716   293.4  35    208.4  0.279    15.8    3.0
FRB 717   262.9  35    177.9  0.321    20.3    1.0
FRB 718   420.1  35    335.1  0.238    33.1    4.0
FRB 719   477.6  35    392.6  0.501    11.9    2.0
FRB 721   756.6  35    671.6  0.344    10.2    3.0
FRB 723   416.1  35    331.1  0.330    12.9    2.0
FRB 725   740.7  35    655.7  0.501    12.3    3.0
FRB 727   349.7  35    264.7  0.195     9.4    0.0
FRB 729   886.1  35    801.1  0.195    52.7    2.0
FRB 730   328.0  35    243.0  0.053    32.6    2.0
FRB 731   204.8  35    119.8  0.105    21.3    3.0
FRB 732   449.7  35    364.7  0.004   121.0    3.0
FRB 733   698.6  35    613.6  0.313    10.4    4.0
FRB 734   483.3  35    398.3  0.307    15.2    1.0
FRB 736   323.4  35    238.4  0.308     9.8    3.0
FRB 737   255.6  35    170.6  0.209    22.1    1.0
FRB 738   604.0  35    519.0  0.126    49.4    2.0
FRB 740   531.7  35    446.7  0.391    91.5    0.0
FRB 741   308.1  35    223.1  0.270    30.4    2.0
FRB 742   527.3  35    442.3  0.333    28.6    2.0
FRB 743   362.5  35    277.5  0.332    13.3    3.0
FRB 745   345.3  35    260.3  0.149    13.9    2.0
FRB 746   434.5  35    349.5  0.284    19.5    0.0
FRB 748   296.0  35    211.0  0.032    11.0    2.0
FRB 749   257.3  35    172.3  0.056   167.0    1.0
FRB 751   380.3  35    295.3  0.003    11.4    3.0
FRB 752   252.5  35    167.5  0.008    30.1    2.0
FRB 753   287.8  35    202.8  0.159    36.4    3.0
FRB 754   448.4  35    363.4  0.056    20.0    3.0
FRB 755   343.2  35    258.2  0.218    35.9    3.0
FRB 757   619.3  35    534.3  0.492     9.3    3.0
FRB 758   375.0  35    290.0  0.012    15.6    4.0
FRB 760   597.6  35    512.6  0.645    11.4    1.0
FRB 761   297.0  35    212.0  0.197    79.4    2.0
FRB 763   613.0  35    528.0  0.416    14.2    3.0
FRB 764   234.5  35    149.5  0.128    12.7    1.0
FRB 765   604.3  35    519.3  0.529    14.0    3.0
FRB 767   389.4  35    304.4  0.338    14.3    1.0
FRB 768   621.5  35    536.5  0.213    11.9    3.0
FRB 770   226.6  35    141.6  0.059    21.1    4.0
FRB 771   715.4  35    630.4  0.379    10.0    2.0
FRB 772   286.2  35    201.2  0.079    64.0    4.0
FRB 774   704.2  35    619.2  0.597    15.5    3.0
FRB 775   433.4  35    348.4  0.250    13.9    3.0
FRB 777   593.9  35    508.9  0.537    11.7    3.0
FRB 779   226.4  35    141.4  0.199    10.7    2.0
FRB 780   343.3  35    258.3  0.088    15.4    2.0
FRB 782  1057.2  35    972.2  0.041    17.7    3.0
FRB 783   387.6  35    302.6  0.065    17.9    3.0
FRB 784   337.7  35    252.7  0.145     9.4    2.0
FRB 786   246.3  35    161.3  0.165     9.4    2.0
FRB 787   218.2  35    133.2  0.158    14.8    2.0
FRB 788   334.8  35    249.8  0.196    22.4    2.0
FRB 790   172.7  35     87.7  0.030    10.3    5.0
FRB 791   306.0  35    221.0  0.258    25.7    3.0
FRB 793   474.6  35    389.6  0.207    11.5    4.0
FRB 795   340.2  35    255.2  0.304    14.7    3.0
FRB 796   362.7  35    277.7  0.421    20.4    0.0
FRB 797   736.5  35    651.5  0.858    11.2    0.0
FRB 799   277.3  35    192.3  0.211    12.9    2.0
FRB 801   314.9  35    229.9  0.138    21.6    4.0
FRB 802   328.5  35    243.5  0.396    17.8    2.0
FRB 803   418.8  35    333.8  0.422    39.2    2.0
FRB 804   310.0  35    225.0  0.239    13.4    3.0
FRB 806   390.1  35    305.1  0.256    10.0    2.0
FRB 807   601.8  35    516.8  0.176    89.9    3.0
FRB 808   204.5  35    119.5  0.106    30.4    2.0
FRB 809   231.3  35    146.3  0.228    19.9    0.0
FRB 810   778.4  35    693.4  0.188    14.0    4.0
FRB 812   262.2  35    177.2  0.075    11.1    1.0
FRB 813   312.5  35    227.5  0.133    16.0    3.0
FRB 814   778.9  35    693.9  0.460    15.3    0.0
FRB 815   585.4  35    500.4  0.276    25.2    1.0
FRB 817   327.5  35    242.5  0.373    15.7    2.0
FRB 818   361.7  35    276.7  0.290    10.1    4.0
FRB 820   340.1  35    255.1  0.095    17.1    3.0
FRB 821   492.9  35    407.9  0.293    12.1    1.0
FRB 822   442.7  35    357.7  0.126    14.3    5.0
FRB 823  1325.6  35   1240.6  0.261    19.9    2.0
FRB 824  1393.1  35   1308.1  0.139    30.9    3.0
FRB 826   219.8  35    134.8  0.166    14.2    2.0
FRB 827   669.1  35    584.1  0.315    12.7    4.0
FRB 829   482.6  35    397.6  0.183    84.5    3.0
FRB 830   283.0  35    198.0  0.239    11.3    3.0
FRB 831   219.9  35    134.9  0.031    30.4    4.0
FRB 833   576.4  35    491.4  0.526     9.5    3.0
FRB 834   441.5  35    356.5  0.251    14.7    2.0
FRB 836   648.0  35    563.0  0.432    14.1    1.0
FRB 837   384.5  35    299.5  0.319    15.7    3.0
FRB 838   452.3  35    367.3  0.056    14.4    3.0
FRB 839   444.3  35    359.3  0.260    10.7    4.0
FRB 841   615.2  35    530.2  0.006    10.9    1.0
FRB 842   183.7  35     98.7  0.041   164.0    2.0
FRB 844   409.2  35    324.2  0.169    10.8    3.0
FRB 845   288.4  35    203.4  0.166   127.2    3.0
FRB 847   362.0  35    277.0  0.197     9.6    4.0
FRB 848   645.7  35    560.7  0.450    14.7    4.0
FRB 849   440.6  35    355.6  0.040   587.8    2.0
FRB 850   236.4  35    151.4  0.031    22.8    3.0
FRB 852   400.0  35    315.0  0.096    11.3    3.0
FRB 854   160.0  35     75.0  0.063    10.3    2.0
FRB 856   345.1  35    260.1  0.239    12.5    1.0
FRB 858   372.1  35    287.1  0.060    12.2    2.0
FRB 859   256.7  35    171.7  0.069    32.0    4.0
FRB 861   611.9  35    526.9  0.265    16.8    2.0
FRB 862   368.4  35    283.4  0.068    34.3    1.0
FRB 863   740.4  35    655.4  0.067    13.4    4.0
FRB 864   909.2  35    824.2  0.158    29.5    2.0
FRB 866   318.2  35    233.2  0.160    62.1    3.0
FRB 867   391.5  35    306.5  0.080    23.6    1.0
FRB 868   736.4  35    651.4  0.293    21.4    3.0
FRB 869   295.0  35    210.0  0.186    19.3    3.0
FRB 870   639.1  35    554.1  0.469     9.7    3.0
FRB 871   220.3  35    135.3  0.057    39.0    3.0
FRB 873   334.8  35    249.8  0.010    19.6    2.0
FRB 874   543.8  35    458.8  0.384    13.5    3.0
FRB 875   441.2  35    356.2  0.116   135.2    2.0
FRB 876   309.1  35    224.1  0.271    14.9    1.0
FRB 877   461.6  35    376.6  0.063    48.8    2.0
FRB 879   305.9  35    220.9  0.047    12.2    2.0
FRB 880   865.0  35    780.0  0.315    22.9    3.0
FRB 881   198.8  35    113.8  0.002    17.9    3.0
FRB 882   628.6  35    543.6  0.528    42.4    0.0
FRB 883   177.8  35     92.8  0.108    91.9    2.0
FRB 885   418.8  35    333.8  0.289    20.9    1.0
FRB 886   889.3  35    804.3  0.144    24.2    3.0
FRB 887   662.5  35    577.5  0.155    10.1    3.0
FRB 888   345.4  35    260.4  0.171    20.7    2.0
FRB 890   721.1  35    636.1  0.669     9.8    2.0
FRB 891   835.3  35    750.3  0.009    19.8    3.0
FRB 893   463.2  35    378.2  0.304     9.6    2.0
FRB 894   522.6  35    437.6  0.227    24.1    4.0
FRB 895   476.8  35    391.8  0.449    31.8    2.0
FRB 897   546.6  35    461.6  0.238    27.5    1.0
FRB 898   525.1  35    440.1  0.566    15.4    3.0
FRB 899   350.1  35    265.1  0.099    40.7    3.0
FRB 900   193.2  35    108.2  0.148    14.9    5.0
FRB 901   397.0  35    312.0  0.135    27.3    3.0
FRB 902   576.8  35    491.8  0.021     9.2    3.0
FRB 903   257.4  35    172.4  0.110   112.4    2.0
FRB 905   351.0  35    266.0  0.317    12.0    2.0
FRB 906   763.8  35    678.8  0.372    19.4    3.0
FRB 908   574.4  35    489.4  0.040    77.6    4.0
FRB 909   398.2  35    313.2  0.096    13.2    3.0
FRB 910   221.4  35    136.4  0.107    21.0    3.0
FRB 912   322.0  35    237.0  0.115    12.5    3.0
FRB 913   321.6  35    236.6  0.081    20.3    2.0
FRB 914   298.6  35    213.6  0.104    58.8    4.0
FRB 915   809.3  35    724.3  0.100    17.5    4.0
FRB 916   616.1  35    531.1  0.413    26.5    4.0
FRB 917   230.0  35    145.0  0.144    14.9    3.0
FRB 919   583.9  35    498.9  0.616    14.7    2.0
FRB 920   662.3  35    577.3  0.343    13.6    3.0
FRB 921   483.1  35    398.1  0.518    17.6    3.0
FRB 923   529.2  35    444.2  0.603    10.1    2.0
FRB 924   401.5  35    316.5  0.440    20.5    0.0
FRB 926   468.8  35    383.8  0.018    19.0    2.0
FRB 927   189.2  35    104.2  0.040    28.0    4.0
FRB 928   411.0  35    326.0  0.205    38.0    4.0
FRB 929   248.3  35    163.3  0.095    35.9    2.0
FRB 930   282.2  35    197.2  0.176    10.1    0.0
FRB 931   546.2  35    461.2  0.527    14.7    0.0
FRB 933   326.3  35    241.3  0.139    13.8    2.0
FRB 934   545.5  35    460.5  0.078    18.6    3.0
FRB 936   243.5  35    158.5  0.047    53.2    0.0
FRB 937   154.5  35     69.5  0.085    16.6    3.0
FRB 938   866.1  35    781.1  0.054     9.8    3.0
FRB 939   647.6  35    562.6  0.011    30.3    3.0
FRB 940   656.2  35    571.2  0.029   160.8    1.0
FRB 941   158.5  35     73.5  0.023    47.6    3.0
FRB 942   220.3  35    135.3  0.176    22.4    4.0
FRB 944   646.4  35    561.4  0.457    23.9    2.0
FRB 945   275.0  35    190.0  0.185    31.9    2.0
FRB 946  1167.6  35   1082.6  0.053    10.3    1.0
FRB 948   376.8  35    291.8  0.417    11.7    3.0
FRB 949   427.8  35    342.8  0.486    15.1    2.0
FRB 951   509.7  35    424.7  0.328    19.0    1.0
FRB 952   375.1  35    290.1  0.426    15.8    2.0
FRB 953   213.3  35    128.3  0.029    11.6    3.0
FRB 955   189.4  35    104.4  0.121     9.8    2.0
FRB 957   356.2  35    271.2  0.421    10.8    2.0
FRB 958   422.1  35    337.1  0.259    30.9    4.0
FRB 959   235.9  35    150.9  0.049    16.5    2.0
FRB 960  1554.1  35   1469.1  0.147    33.0    4.0
FRB 962   392.1  35    307.1  0.015    13.8    2.0
FRB 963   329.8  35    244.8  0.237    60.8    2.0
FRB 964   327.0  35    242.0  0.086    68.8    3.0
FRB 966   632.5  35    547.5  0.265    18.9    3.0
FRB 967   304.7  35    219.7  0.017    17.6    2.0
FRB 968   430.4  35    345.4  0.419    10.0    0.0
FRB 969   249.3  35    164.3  0.076    42.8    3.0
FRB 970   317.2  35    232.2  0.192    30.4    2.0
FRB 971   490.1  35    405.1  0.294    21.6    2.0
FRB 972   637.5  35    552.5  0.173    34.5    2.0
FRB 973   692.2  35    607.2  0.127    17.2    2.0
FRB 974   495.6  35    410.6  0.266    24.2    1.0
FRB 976   377.0  35    292.0  0.238    12.4    3.0
FRB 977   386.6  35    301.6  0.076    18.3    4.0
FRB 978   365.7  35    280.7  0.226    24.8    3.0
FRB 979   801.1  35    716.1  0.236    17.4    3.0
FRB 981   400.3  35    315.3  0.419    10.6    3.0
FRB 983   435.8  35    350.8  0.203    18.3    2.0
FRB 984   262.3  35    177.3  0.029    19.3    2.0
FRB 985   572.9  35    487.9  0.011     9.4    5.0
FRB 986   448.3  35    363.3  0.123    31.5    2.0
FRB 987   532.6  35    447.6  0.420    18.8    2.0
FRB 989   316.4  35    231.4  0.094    15.4    3.0
FRB 990   412.9  35    327.9  0.153    30.3    3.0
FRB 991   496.4  35    411.4  0.062    67.2    3.0
FRB 992   494.8  35    409.8  0.123    13.2    3.0
FRB 993   324.4  35    239.4  0.161    63.7    2.0
FRB 994   245.6  35    160.6  0.125    15.2    4.0
FRB 996   193.6  35    108.6  0.160    23.6    3.0
FRB 997   420.0  35    335.0  0.194    10.4    4.0
FRB 998   404.1  35    319.1  0.075    39.4    1.0
FRB 999   188.2  35    103.2  0.005    49.0    3.0
FRB 1001   387.8  35    302.8  0.179   129.0    3.0
FRB 1002   340.5  35    255.5  0.129    12.3    4.0
FRB 1004   648.4  35    563.4  0.027    30.5    3.0
FRB 1005   158.4  35     73.4  0.030    15.4    3.0
FRB 1006   499.9  35    414.9  0.185    36.2    4.0
FRB 1007   220.7  35    135.7  0.068    15.6    2.0
FRB 1008   162.5  35     77.5  0.128    13.3    2.0
FRB 1010   302.9  35    217.9  0.149    22.1    2.0
FRB 1011   680.2  35    595.2  0.468    12.0    4.0
FRB 1013   793.0  35    708.0  0.767    14.7    2.0
FRB 1014   408.4  35    323.4  0.383    10.3    2.0
FRB 1015   173.1  35     88.1  0.034    16.4    1.0
FRB 1016   338.2  35    253.2  0.129    45.9    2.0
FRB 1017   593.5  35    508.5  0.384    18.4    2.0
FRB 1018   430.2  35    345.2  0.381    57.5    2.0
FRB 1019   334.6  35    249.6  0.099   197.6    1.0
FRB 1020   431.6  35    346.6  0.442    14.1    2.0
FRB 1022   288.4  35    203.4  0.107    50.9    3.0
FRB 1023   599.0  35    514.0  0.689    11.9    2.0
FRB 1025   333.9  35    248.9  0.341    14.3    1.0
FRB 1026   412.6  35    327.6  0.211     9.9    2.0
FRB 1028   609.6  35    524.6  0.471    10.5    2.0
FRB 1029   283.4  35    198.4  0.015    36.4    3.0
FRB 1030   579.8  35    494.8  0.438    17.2    1.0
FRB 1031   372.7  35    287.7  0.342    15.7    1.0
FRB 1033   345.2  35    260.2  0.181     9.4    2.0
FRB 1034   136.4  35     51.4  0.029    33.9    3.0
FRB 1035   581.9  35    496.9  0.038    21.6    2.0
FRB 1037   245.6  35    160.6  0.103    10.2    2.0
FRB 1039   399.9  35    314.9  0.453    13.9    3.0
FRB 1040   494.3  35    409.3  0.085    69.7    4.0
FRB 1041   147.0  35     62.0  0.005    45.8    3.0
FRB 1042   839.7  35    754.7  0.387    15.5    4.0
FRB 1044   603.4  35    518.4  0.483     9.6    1.0
FRB 1045   443.4  35    358.4  0.392    32.2    3.0
FRB 1046   270.1  35    185.1  0.191    18.1    3.0
FRB 1048   147.4  35     62.4  0.060    11.0    2.0
FRB 1050   706.9  35    621.9  0.336    10.9    2.0
FRB 1052   301.6  35    216.6  0.296     9.8    1.0
FRB 1054   614.1  35    529.1  0.306    10.4    1.0
FRB 1056   717.8  35    632.8  0.516    17.0    0.0
FRB 1057   660.0  35    575.0  0.157    15.6    4.0
FRB 1058   472.2  35    387.2  0.199    25.6    0.0
FRB 1059   402.3  35    317.3  0.271    36.8    3.0
FRB 1060   561.6  35    476.6  0.112    54.9    5.0
FRB 1061   433.2  35    348.2  0.251    25.5    2.0
FRB 1062   188.4  35    103.4  0.065    15.6    4.0
FRB 1063   220.7  35    135.7  0.229    13.8    2.0
FRB 1065  1484.8  35   1399.8  0.326     9.3    1.0
FRB 1066   627.2  35    542.2  0.705    29.5    1.0
FRB 1068   257.2  35    172.2  0.195    10.7    3.0
FRB 1069   780.5  35    695.5  0.421    75.5    3.0
FRB 1070   509.1  35    424.1  0.431    15.0    2.0
FRB 1072   435.7  35    350.7  0.328     9.3    3.0
FRB 1073   904.9  35    819.9  0.266    58.0    4.0
FRB 1075   541.2  35    456.2  0.514    14.5    3.0
FRB 1076   365.7  35    280.7  0.075    18.1    3.0
FRB 1077   822.6  35    737.6  0.332    37.4    2.0
FRB 1078   163.1  35     78.1  0.033    51.1    1.0
FRB 1079   792.7  35    707.7  0.164    11.4    1.0
FRB 1080   371.7  35    286.7  0.300    17.0    1.0
FRB 1081   577.2  35    492.2  0.563    28.3    2.0
FRB 1082   194.6  35    109.6  0.183    19.2    4.0
FRB 1083   555.1  35    470.1  0.153    37.0    3.0
FRB 1084   313.7  35    228.7  0.290    27.6    2.0
FRB 1085   429.8  35    344.8  0.392    29.1    2.0
FRB 1086   564.7  35    479.7  0.181    18.8    4.0
FRB 1088   377.1  35    292.1  0.165    18.0    2.0
FRB 1089   177.9  35     92.9  0.019    29.2    1.0
FRB 1090   153.0  35     68.0  0.052    19.2    3.0
FRB 1091   288.1  35    203.1  0.149    12.3    4.0
FRB 1093   236.4  35    151.4  0.035    15.3    3.0
FRB 1094   563.0  35    478.0  0.559    27.4    3.0
FRB 1095   196.9  35    111.9  0.097     9.7    3.0
FRB 1096   213.9  35    128.9  0.048    69.7    3.0
FRB 1098   367.9  35    282.9  0.215    10.7    3.0
FRB 1099   959.8  35    874.8  0.101    21.2    4.0
FRB 1100   499.0  35    414.0  0.219    32.6    4.0
FRB 1102   391.0  35    306.0  0.156    66.3    2.0
FRB 1103   287.4  35    202.4  0.258    20.5    2.0
FRB 1104   231.9  35    146.9  0.178     9.1    3.0
FRB 1105   445.3  35    360.3  0.205    23.7    1.0
FRB 1106   844.1  35    759.1  0.700    33.8    2.0
FRB 1107   222.0  35    137.0  0.060    21.7    1.0
FRB 1108   162.3  35     77.3  0.067    22.9    4.0
FRB 1110   155.4  35     70.4  0.014    11.2    2.0
FRB 1112  1024.0  35    939.0  0.599    21.0    1.0
FRB 1113   382.8  35    297.8  0.346     9.3    3.0
FRB 1115   363.2  35    278.2  0.355    49.7    2.0
FRB 1116   227.1  35    142.1  0.025    23.0    4.0
FRB 1117   444.6  35    359.6  0.176    11.5    6.0
FRB 1119   185.9  35    100.9  0.009     9.9    2.0
FRB 1120   148.7  35     63.7  0.081    34.4    1.0
FRB 1121   320.0  35    235.0  0.064    25.2    5.0
FRB 1123   723.8  35    638.8  0.085    11.0    3.0
FRB 1124   425.2  35    340.2  0.061    19.8    3.0
FRB 1126   841.9  35    756.9  0.694    12.5    2.0
FRB 1128   748.4  35    663.4  0.004    16.3    3.0
FRB 1129   982.3  35    897.3  0.127    15.7    2.0
FRB 1130   369.5  35    284.5  0.253    42.4    3.0
FRB 1131   298.4  35    213.4  0.116    22.5    2.0
FRB 1132   238.1  35    153.1  0.063    13.6    1.0
FRB 1133   428.8  35    343.8  0.113    30.6    4.0
FRB 1134   170.3  35     85.3  0.051   270.1    1.0
FRB 1136   127.0  35     42.0  0.032    39.9    2.0
FRB 1137   508.4  35    423.4  0.528    10.4    2.0
FRB 1138   777.9  35    692.9  0.411    47.7    2.0
FRB 1140   956.5  35    871.5  0.284    12.8    3.0
FRB 1141   281.3  35    196.3  0.211    15.7    2.0
FRB 1142   380.0  35    295.0  0.235    26.8    3.0
FRB 1143   259.0  35    174.0  0.007    96.8    4.0
FRB 1144   373.6  35    288.6  0.317    15.0    1.0
